订单ID,产品类别,产品名称,月份,销量,单价,区域,销售渠道
ORD001,电子产品,智能手表Pro,1月,45,1299.00,华东,线上
ORD002,电子产品,智能手表Pro,2月,62,1299.00,华东,线上
ORD003,电子产品,智能手表Pro,3月,58,1299.00,华东,线下
ORD004,电子产品,蓝牙耳机Air,1月,120,299.00,华东,线上
ORD005,电子产品,蓝牙耳机Air,2月,145,299.00,华南,线上
ORD006,电子产品,蓝牙耳机Air,3月,132,299.00,华南,线下
ORD007,家居用品,智能台灯Lite,1月,88,199.00,华东,线上
ORD008,家居用品,智能台灯Lite,2月,76,199.00,华南,线上
ORD009,家居用品,智能台灯Lite,3月,95,199.00,华东,线下
ORD010,家居用品,智能门锁X1,1月,32,899.00,华南,线上
ORD011,家居用品,智能门锁X1,2月,28,899.00,华东,线上
ORD012,家居用品,智能门锁X1,3月,41,899.00,华东,线下
ORD013,食品饮料,有机咖啡豆,1月,200,59.90,华南,线上
ORD014,食品饮料,有机咖啡豆,2月,185,59.90,华东,线上
ORD015,食品饮料,有机咖啡豆,3月,220,59.90,华南,线下
ORD016,食品饮料,进口茶叶礼盒,1月,55,168.00,华东,线上
ORD017,食品饮料,进口茶叶礼盒,2月,48,168.00,华南,线下
ORD018,食品饮料,进口茶叶礼盒,3月,62,168.00,华东,线上
ORD019,电子产品,无线充电板,1月,90,149.00,华南,线上
ORD020,电子产品,无线充电板,2月,102,149.00,华东,线上
